influencerid,locationid,claimamount,date
1,10,100,1 may 2025
1,10,100,2 may 2025
1,10,100,3 may 2025
1,10,100,4 may 2025
1,10,100,5 may 2025
2,10,100,1 may 2025
2,10,100,2 may 2025
2,10,100,3 may 2025
3,10,100,4 may 2025
3,10,100,5 may 2025
4,10,100,1 may 2025
5,10,100,2 may 2025
6,10,100,3 may 2025
7,10,100,4 may 2025
8,10,100,5 may 2025
9,16,100,1 may 2025
9,16,100,2 may 2025
9,16,100,3 may 2025
9,16,100,4 may 2025
9,16,100,5 may 2025
9,16,100,5 may 2025
10,13,1000,5 may 2025
11,15,1000,5 may 2025
