CustomerKey,City,StateProvinceName,EnglishCountryRegionName,TotalOrders,TotalSales,AvgOrderValue,DaysSinceLastOrder
11000,Rockhampton,Queensland,Australia,3,8248.99,1031.1237,4420
11001,Seaford,Victoria,Australia,3,6383.88,580.3527,4199
11002,Hobart,Tasmania,Australia,3,8114.04,2028.51,4489
11003,North Ryde,New South Wales,Australia,3,8139.29,904.3655,4413
11004,Wollongong,New South Wales,Australia,3,8196.01,1366.0016,4422
11005,East Brisbane,Queensland,Australia,3,8121.33,1353.555,4421
11006,Matraville,New South Wales,Australia,3,8119.03,1623.806,4409
11007,Warrnambool,Victoria,Australia,3,8211,1026.375,4465
11008,Bendigo,Victoria,Australia,3,8106.31,1158.0442,4482
11009,Hervey Bay,Queensland,Australia,3,8091.33,1618.266,4414
11010,East Brisbane,Queensland,Australia,3,8088.04,2022.01,4400
11011,East Brisbane,Queensland,Australia,3,8133.04,2033.26,4465
11012,Bremerton,Washington,United States,2,81.26,16.252,4255
11013,Lebanon,Oregon,United States,2,113.96,22.792,4157
11014,Redmond,Washington,United States,2,138.45,23.075,4423
11015,Burbank,California,United States,1,2500.97,833.6566,4525
11016,Imperial Beach,California,United States,1,2332.28,777.4266,4503
11017,Sunbury,Victoria,Australia,3,6434.31,1608.5775,4256
11018,Bendigo,Victoria,Australia,3,6533.28,933.3257,4246
11019,Langley,British Columbia,Canada,17,882.7,26.7484,4166
11020,Metchosin,British Columbia,Canada,1,2316.97,1158.485,4545
11021,Beaverton,Oregon,United States,1,2371.96,790.6533,4520
11022,Bellingham,Washington,United States,1,2322.28,1161.14,4523
11023,Bellflower,California,United States,2,122.24,20.3733,4164
11024,Concord,California,United States,2,56.51,9.4183,4336
11025,Hawthorne,Queensland,Australia,3,6576.8,1096.1333,4245
11026,Goulburn,New South Wales,Australia,3,6575.79,939.3985,4255
11027,Warrnambool,Victoria,Australia,3,6591.57,732.3966,4246
11028,St. Leonards,New South Wales,Australia,3,6474.62,1294.924,4263
11029,Bendigo,Victoria,Australia,3,6565.29,937.8985,4228
11030,Cloverdale,South Australia,Australia,3,6471.32,1617.83,4230
11031,Matraville,New South Wales,Australia,3,6478.6,1079.7666,4226
11032,Melbourne,Victoria,Australia,3,6525.56,652.556,4231
11033,Milsons Point,New South Wales,Australia,3,6495.29,927.8985,4234
11034,North Sydney,New South Wales,Australia,3,6491.32,1622.83,4229
11035,Cranbourne,Victoria,Australia,3,6451.31,1290.262,4224
11036,National City,California,United States,1,2354.98,1177.49,4521
11037,Cliffside,British Columbia,Canada,1,2374.23,339.1757,4523
11038,Lavender Bay,New South Wales,Australia,3,6437.33,2145.7766,4227
11039,Wollongong,New South Wales,Australia,3,6636.58,737.3977,4228
11040,Tacoma,Washington,United States,1,2350.96,783.6533,4450
11041,Glendale,California,United States,1,2380.47,793.49,4529
11042,Los Angeles,California,United States,2,3112.33,1037.4433,4253
11043,Glendale,California,United States,2,47.98,15.9933,4313
11044,Hervey Bay,Queensland,Australia,3,6515.3,930.7571,4231
11045,Matraville,New South Wales,Australia,2,114.96,28.74,4241
11046,Lavender Bay,New South Wales,Australia,3,6616.81,1102.8016,4227
11047,Geelong,Victoria,Australia,3,6582.33,1645.5825,4220
11048,Sunbury,Victoria,Australia,3,6498.24,812.28,4184
11049,Chula Vista,California,United States,2,81.26,16.252,4241
11050,Hobart,Tasmania,Australia,3,5007.3,834.55,4220
11051,Caloundra,Queensland,Australia,2,123.95,24.79,4177
11052,Matraville,New South Wales,Australia,3,8131.32,1161.6171,4396
11053,San Diego,California,United States,1,2329.98,1164.99,4526
11054,Geelong,Victoria,Australia,3,8223.02,1370.5033,4393
11055,East Brisbane,Queensland,Australia,3,8168.01,1021.0012,4385
11056,Newcastle,New South Wales,Australia,3,8207.5,1025.9375,4392
11057,Lane Cove,New South Wales,Australia,3,8088.04,2022.01,4402
11058,Findon,South Australia,Australia,3,8248.02,1374.67,4388
11059,Townsville,Queensland,Australia,3,116.93,16.7042,4468
11060,Warrnambool,Victoria,Australia,3,8153.02,1358.8366,4367
11061,Gold Coast,Queensland,Australia,3,8129.02,1354.8366,4378
11062,Portland,Oregon,United States,1,2351.96,783.9866,4536
11063,Redmond,Washington,United States,1,2372.95,474.59,4531
11064,Downey,California,United States,1,2304.98,1152.49,4518
11065,La Jolla,California,United States,2,202.57,40.514,4168
11066,Lebanon,Oregon,United States,2,81.26,16.252,4281
11067,Port Orchard,Washington,United States,2,105.75,17.625,4166
11068,Warrnambool,Victoria,Australia,3,113.36,12.5955,4262
11069,Gold Coast,Queensland,Australia,3,8104.05,2701.35,4388
11070,Sunbury,Victoria,Australia,3,8165.55,816.555,4366
11071,Hawthorne,Queensland,Australia,3,110.23,15.7471,4208
11072,St. Leonards,New South Wales,Australia,3,8194,1170.5714,4377
11073,Springwood,New South Wales,Australia,3,191.9,19.19,4310
11074,Cloverdale,South Australia,Australia,3,94.19,13.4557,4396
11075,Bendigo,Victoria,Australia,3,8068.03,1613.606,4368
11076,Wollongong,New South Wales,Australia,3,8159.04,2039.76,4371
11077,Melton,Victoria,Australia,3,8169.03,1633.806,4380
11078,Cliffside,British Columbia,Canada,17,913.27,29.4603,4150
11079,Geelong,Victoria,Australia,3,57.95,11.59,4177
11080,Perth,South Australia,Australia,3,8204.02,1172.0028,4369
11081,Concord,California,United States,2,104.26,20.852,4440
11082,Fremont,California,United States,2,3110.81,518.4683,4233
11083,Lincoln Acres,California,United States,2,3137.32,627.464,4231
11084,Lebanon,Oregon,United States,2,3078.61,615.722,4218
11085,Newport Beach,California,United States,2,128.96,25.792,4170
11086,Santa Monica,California,United States,2,153.45,25.575,4188
11087,Chula Vista,California,United States,2,200.28,50.07,4322
11088,San Diego,California,United States,2,3176.78,453.8257,4227
11089,Long Beach,California,United States,2,3188.28,455.4685,4221
11090,Los Angeles,California,United States,3,6704.08,1117.3466,4218
11091,Haney,British Columbia,Canada,28,1189.33,20.1581,4170
11092,East Brisbane,Queensland,Australia,3,8110.02,1622.004,4371
11093,Wollongong,New South Wales,Australia,3,8180,1168.5714,4384
11094,Cranbourne,Victoria,Australia,3,235.89,29.4862,4167
11095,Port Macquarie,New South Wales,Australia,3,8158.01,1165.43,4367
11096,North Sydney,New South Wales,Australia,3,8063.04,2015.76,4332
11097,Warrnambool,Victoria,Australia,3,8099.03,1619.806,4338
11098,Rhodes,New South Wales,Australia,3,88.96,22.24,4254
11099,Port Macquarie,New South Wales,Australia,3,8215.99,912.8877,4361
11100,Cloverdale,South Australia,Australia,3,8172.51,1167.5014,4324
11101,Cranbourne,Victoria,Australia,3,8262.52,1180.36,4363
11102,Sydney,New South Wales,Australia,3,102.91,20.582,4200
11103,Darlinghurst,New South Wales,Australia,3,8182.5,1022.8125,4386
11104,Gold Coast,Queensland,Australia,3,8173.03,1362.1716,4377
11105,Matraville,New South Wales,Australia,3,8095.99,1619.198,4387
11106,Warrnambool,Victoria,Australia,3,8079.05,2693.0166,4377
11107,St. Leonards,New South Wales,Australia,3,8171.01,1361.835,4371
11108,Port Macquarie,New South Wales,Australia,3,8124.04,1624.808,4369
11109,South Melbourne,Victoria,Australia,3,8245.01,1030.6262,4368
11110,Darlinghurst,New South Wales,Australia,3,8093.03,1618.606,4311
11111,Geelong,Victoria,Australia,3,8137,1017.125,4309
11112,Hervey Bay,Queensland,Australia,3,8295.02,1382.5033,4298
11113,Perth,South Australia,Australia,3,109.88,15.6971,4432
11114,Rhodes,New South Wales,Australia,3,122.89,17.5557,4183
11115,St. Leonards,New South Wales,Australia,3,113.71,18.9516,4176
11116,Sydney,New South Wales,Australia,3,148.7,21.2428,4254
11117,Matraville,New South Wales,Australia,3,8184.99,1023.1237,4367
11118,Lavender Bay,New South Wales,Australia,3,123.8,15.475,4152
11119,Port Macquarie,New South Wales,Australia,2,85.22,21.305,4216
11120,Sydney,New South Wales,Australia,3,8242.49,824.249,4281
11121,Newcastle,New South Wales,Australia,3,58.16,9.6933,4235
11122,North Sydney,New South Wales,Australia,3,42.93,14.31,4309
11123,Sunbury,Victoria,Australia,3,149.84,18.73,4153
11124,Warrnambool,Victoria,Australia,3,8129.02,1354.8366,4374
11125,Seaford,Victoria,Australia,3,79.69,11.3842,4359
11126,North Ryde,New South Wales,Australia,3,4972.37,621.5462,4236
11127,San Gabriel,California,United States,2,43.98,14.66,4269
11128,Renton,Washington,United States,2,143.94,20.5628,4319
11129,Sedro Woolley,Washington,United States,2,5873.26,2936.63,4534
11130,Lebanon,Oregon,United States,1,37.29,18.645,4200
11131,Haney,British Columbia,Canada,5,165.91,18.4344,4155
11132,Langford,British Columbia,Canada,1,2371.94,395.3233,4444
11133,Lake Oswego,Oregon,United States,1,71.96,17.99,4179
11134,Perth,South Australia,Australia,3,4911.83,1637.2766,4236
11135,Burlingame,California,United States,1,2334.97,778.3233,4435
11136,Metchosin,British Columbia,Canada,1,2380.47,793.49,4540
11137,Spokane,Washington,United States,2,202.57,40.514,4158
11138,Glendale,California,United States,2,78.97,19.7425,4178
11139,Cloverdale,South Australia,Australia,2,83.97,27.99,4253
11140,Burbank,California,United States,1,39.99,19.995,4465
11141,Daly City,California,United States,2,113.96,22.792,4272
11142,Langford,British Columbia,Canada,17,980.77,27.2436,4165
11143,Lakewood,California,United States,2,48.56,9.712,4190
11144,Ballard,Washington,United States,1,2399.97,799.99,4518
11145,Beaverton,Oregon,United States,1,2309.97,769.99,4518
11146,Matraville,New South Wales,Australia,3,112.93,16.1328,4285
11147,Warrnambool,Victoria,Australia,3,8195.5,1170.7857,4254
11148,East Brisbane,Queensland,Australia,3,126.24,21.04,4206
11149,Hervey Bay,Queensland,Australia,3,41.26,10.315,4210
11150,Sunbury,Victoria,Australia,3,192.42,24.0525,4347
11151,Sydney,New South Wales,Australia,3,8087.31,1347.885,4250
11152,Puyallup,Washington,United States,1,2294.99,2294.99,4534
11153,Renton,Washington,United States,2,109.77,21.954,4455
11154,Woodburn,Oregon,United States,1,2319.99,2319.99,4533
11155,Burbank,California,United States,1,2319.99,2319.99,4537
11156,Lakewood,California,United States,1,2389.97,597.4925,4535
11157,Tacoma,Washington,United States,2,41.28,13.76,4289
11158,San Gabriel,California,United States,1,2395.96,798.6533,4524
11159,Woodland Hills,California,United States,2,48.56,9.712,4232
11160,Concord,California,United States,1,2322.28,1161.14,4491
11161,Concord,California,United States,2,93.95,15.6583,4228
11162,La Jolla,California,United States,1,2329.98,1164.99,4494
11163,Spring Valley,California,United States,2,46.27,11.5675,4326
11164,Torrance,California,United States,2,144.76,24.1266,4326
11165,Oakland,California,United States,2,102.49,34.1633,4387
11166,Olympia,Washington,United States,2,87.96,17.592,4203
11167,Issaquah,Washington,United States,2,3126.33,781.5825,4211
11168,Oakland,California,United States,2,3136.59,448.0842,4223
11169,Coronado,California,United States,2,81.26,16.252,4276
11170,Burien,Washington,United States,2,157.23,22.4614,4180
11171,Woodland Hills,California,United States,3,6716.55,839.5687,4232
11172,Lynnwood,Washington,United States,2,128.94,18.42,4167
11173,W. Linn,Oregon,United States,2,102.49,34.1633,4185
11174,Los Angeles,California,United States,2,48.56,9.712,4337
11175,Beverly Hills,California,United States,3,6710.55,838.8187,4236
11176,Haney,British Columbia,Canada,28,1320.01,22.0001,4151
11177,San Diego,California,United States,2,135.25,22.5416,4256
11178,Lakewood,California,United States,2,144.76,24.1266,4397
11179,Beverly Hills,California,United States,2,125.44,20.9066,4169
11180,Chula Vista,California,United States,2,138.45,23.075,4275
11181,Los Angeles,California,United States,2,41.28,13.76,4351
11182,Sedro Woolley,Washington,United States,2,81.26,16.252,4173
11183,Santa Cruz,California,United States,2,46.27,11.5675,4379
11184,Concord,California,United States,2,68.25,13.65,4261
11185,Metchosin,British Columbia,Canada,27,1616.31,23.7692,4152
11186,Palo Alto,California,United States,2,41.28,13.76,4171
11187,Burien,Washington,United States,2,107.48,26.87,4325
11188,San Gabriel,California,United States,2,81.26,16.252,4157
11189,Bellingham,Washington,United States,2,5944.22,990.7033,4507
11190,Beverly Hills,California,United States,2,46.27,11.5675,4162
11191,Colma,California,United States,3,6743.58,963.3685,4233
11192,Seattle,Washington,United States,2,113.96,22.792,4275
11193,Woodburn,Oregon,United States,2,41.28,13.76,4313
11194,Palo Alto,California,United States,2,105.75,17.625,4201
11195,Renton,Washington,United States,2,105.75,17.625,4248
11196,Beaverton,Oregon,United States,2,162.28,40.57,4276
11197,Seattle,Washington,United States,2,207.56,34.5933,4342
11198,Santa Cruz,California,United States,2,98.47,24.6175,4499
11199,Burlingame,California,United States,2,131.75,21.9583,4253
11200,Victoria,British Columbia,Canada,27,1463.38,26.6069,4158
11201,Santa Monica,California,United States,2,180.94,30.1566,4291
11202,Lakewood,California,United States,2,73.98,24.66,4279
11203,Port Hammond,British Columbia,Canada,17,801.77,25.0553,4198
11204,Beaverton,Oregon,United States,2,77.27,19.3175,4229
11205,Burien,Washington,United States,2,37.29,18.645,4262
11206,Lynnwood,Washington,United States,2,77.27,19.3175,4393
11207,Renton,Washington,United States,2,77.27,19.3175,4252
11208,Glendale,California,United States,2,134.23,19.1757,4283
11209,Lincoln Acres,California,United States,2,37.29,18.645,4156
11210,West Covina,California,United States,2,70.76,14.152,4294
11211,Haney,British Columbia,Canada,17,793.55,24.0469,4171
11212,Metchosin,British Columbia,Canada,17,827.19,25.0663,4161
11213,Edmonds,Washington,United States,2,77.27,19.3175,4291
11214,Milwaukie,Oregon,United States,2,162.28,40.57,4220
11215,Royal Oak,British Columbia,Canada,17,1155.52,36.11,4194
11216,Portland,Oregon,United States,2,5948.24,1189.648,4507
11217,Portland,Oregon,United States,2,5953.25,1984.4166,4498
11218,Tacoma,Washington,United States,2,39.58,13.1933,4174
11219,Woodburn,Oregon,United States,2,39.58,13.1933,4154
11220,Colma,California,United States,2,50.23,12.5575,4196
11221,Lakewood,California,United States,2,46.27,11.5675,4253
11222,Santa Monica,California,United States,2,207.96,34.66,4211
11223,Langley,British Columbia,Canada,27,1205.38,21.5246,4172
11224,Burien,Washington,United States,3,6685.59,1337.118,4206
11225,Renton,Washington,United States,2,73.25,14.65,4294
11226,W. Linn,Oregon,United States,2,37.29,18.645,4453
11227,Colma,California,United States,2,5910.22,1182.044,4502
11228,El Cajon,California,United States,2,77.27,19.3175,4161
11229,Redwood City,California,United States,2,81.26,16.252,4153
11230,Santa Monica,California,United States,2,54.22,10.844,4200
11231,Bremerton,Washington,United States,2,64.26,16.065,4227
11232,Everett,Washington,United States,2,39.58,13.1933,4226
11233,Berkeley,California,United States,2,179.43,25.6328,4384
11234,Long Beach,California,United States,2,76.27,19.0675,4281
11235,Ballard,Washington,United States,2,138.45,23.075,4173
11236,Bellingham,Washington,United States,2,113.96,22.792,4172
11237,Solingen,Nordrhein-Westfalen,Germany,4,10566.38,1761.0633,4214
11238,Birmingham,England,United Kingdom,4,7542.77,838.0855,4423
11239,London,England,United Kingdom,4,7511.55,682.8681,4395
11240,Watford,England,United Kingdom,4,7586.23,583.5561,4410
11241,Les Ulis,Essonne,France,7,11469.1882,458.7675,4241
11242,Versailles,Yveline,France,7,11068.0082,922.334,4205
11243,Esher-Molesey,England,United Kingdom,4,7164.25,597.0208,4383
11244,Runcorn,England,United Kingdom,4,7175.75,597.9791,4343
11245,Hamburg,Hessen,Germany,4,10580.35,1175.5944,4198
11246,Hamburg,Hamburg,Germany,4,10575.33,1510.7614,4189
11247,Lancaster,England,United Kingdom,4,7131.51,594.2925,4314
11248,Saint-Denis,Seine Saint Denis,France,1,38.47,12.8233,4348
11249,Sulzbach Taunus,Saarland,Germany,4,9890.27,899.1154,4285
11250,Woolston,England,United Kingdom,4,7116.25,646.9318,4325
11251,Haney,British Columbia,Canada,1,2318.96,579.74,4252
11252,Lemon Grove,California,United States,3,6685.56,955.08,4191
11253,Victoria,British Columbia,Canada,16,696.61,23.2203,4206
11254,Burien,Washington,United States,2,203.92,22.6577,4195
11255,Burien,Washington,United States,2,113.96,22.792,4453
11256,Lynnwood,Washington,United States,2,81.26,16.252,4254
11257,Newport Beach,California,United States,3,6677.38,1112.8966,4195
11258,Palo Alto,California,United States,2,49.23,12.3075,4347
11259,Salem,Oregon,United States,3,6770.6,1354.12,4189
11260,Burlingame,California,United States,2,81.26,16.252,4369
11261,San Diego,California,United States,3,6650.6,1662.65,4186
11262,Port Hammond,British Columbia,Canada,27,1126.82,17.886,4156
11263,Burien,Washington,United States,3,6754.06,750.4511,4199
11264,Issaquah,Washington,United States,2,3182.27,397.7837,4209
11265,Kirkland,Washington,United States,1,2351.96,783.9866,4540
11266,Port Orchard,Washington,United States,2,5922.23,1184.446,4523
11267,Burlingame,California,United States,2,5943.23,1188.646,4536
11268,Coronado,California,United States,2,98.25,19.65,4223
11269,Daly City,California,United States,2,42.28,14.0933,4290
11270,Lakewood,California,United States,2,5984.22,1196.844,4536
11271,San Francisco,California,United States,2,5973.24,1194.648,4521
11272,Beverly Hills,California,United States,2,5975.23,1493.8075,4530
11273,La Jolla,California,United States,2,273.23,34.1537,4400
11274,Bellingham,Washington,United States,2,5888.24,1472.06,4488
11275,Colma,California,United States,2,5955.23,1488.8075,4531
11276,Cliffside,British Columbia,Canada,27,988.32,17.3389,4156
11277,Royal Oak,British Columbia,Canada,27,1434.99,22.0767,4162
11278,Edmonds,Washington,United States,2,5908.25,1969.4166,4540
11279,Everett,Washington,United States,2,44.57,11.1425,4370
11280,Lynnwood,Washington,United States,2,77.27,19.3175,4323
11281,Burbank,California,United States,2,5921.19,1184.238,4532
11282,Burien,Washington,United States,2,5998.73,999.7883,4541
11283,Berkeley,California,United States,2,44.57,11.1425,4303
11284,Chula Vista,California,United States,2,55.48,11.096,4421
11285,Fremont,California,United States,2,127.76,25.552,4244
11286,Torrance,California,United States,2,5954.22,1190.844,4523
11287,Cliffside,British Columbia,Canada,27,1167.07,18.8237,4150
11288,Burbank,California,United States,2,77.27,19.3175,4310
11289,Downey,California,United States,2,5905.48,1181.096,4527
11290,Lakewood,California,United States,2,5933.25,1977.75,4516
11291,Lemon Grove,California,United States,2,5873.26,2936.63,4524
11292,San Gabriel,California,United States,2,5910.22,1182.044,4543
11293,Port Orchard,Washington,United States,2,85.22,17.044,4469
11294,Issaquah,Washington,United States,2,42.28,14.0933,4175
11295,Concord,California,United States,2,6058.25,1211.65,4534
11296,Everett,Washington,United States,2,5897.53,1474.3825,4514
11297,Burbank,California,United States,2,5948.24,1189.648,4492
11298,Chula Vista,California,United States,2,5922.23,1184.446,4491
11299,Burbank,California,United States,2,6015.24,1503.81,4488
11300,N. Vancouver,British Columbia,Canada,27,1500.52,22.3958,4178
11301,Ballard,Washington,United States,2,131.26,26.252,4259
11302,Corvallis,Oregon,United States,2,5938.19,1187.638,4510
11303,Edmonds,Washington,United States,2,5875.55,1958.5166,4489
11304,Portland,Oregon,United States,2,122.21,24.442,4431
11305,Chula Vista,California,United States,2,77.27,19.3175,4327
11306,Coronado,California,United States,2,42.28,14.0933,4293
11307,Daly City,California,United States,2,5964.22,1192.844,4504
11308,Oregon City,Oregon,United States,2,94.26,23.565,4163
